,address,code,name,state,zone,coordinates
6246,"State Highway 22, Madhya Pradesh",SXF,SOBHAPUR,Madhya Pradesh,WCR,"[78.29188099999999, 22.727429]"
6247,"National Highway 206, Karnataka",BNK,BANASANKARAI HA,Karnataka,SWR,"[76.5230602795, 13.2656079329]"
6248,,BXHT,Boxirhat,,,"[89.751593, 26.307287000000002]"
6249,,MFH,MAHRAULI,,,"[77.468815, 28.663865]"
6250,,AKNR,ADHYATMIK NAGAR,,,"[77.49972700000001, 28.679874]"
6251,,DS,DASNA,,,"[77.528116, 28.690718999999998]"
6252,,PKW,PILKHUA,,,"[77.668008, 28.712335]"
6253,,KKMB,KASTLA KASAMBAD,,,"[77.7102953784, 28.7210709953]"
6254,,HPU,HAPUR,,,"[77.77957599999999, 28.739613]"
6255,,BBO,BABUGARH,,,"[77.855523, 28.747393000000002]"
6256,,QXR,KUCHESAR ROAD,,,"[77.913232, 28.746651]"
6257,,SKHR,SIKHERA MB HALT,,,"[77.9499696448, 28.7567148575]"
6258,,SMBL,SIMBHOOLI,,,"[77.98347199999999, 28.765190999999998]"
6259,,GMS,GARHMUKTESAR,,,"[78.07350799999999, 28.781743]"
6260,,GGB,GARHMUKTESAR BR,,,"[78.1412204187, 28.761399945399997]"
6261,,KHE,KANKATHER,,,"[78.180192128, 28.8013612636]"
6262,,GJL,GAJRAULA JN,,,"[78.250784, 28.834937999999998]"
6263,,MHHR,MAHESRA,,,"[78.330321, 28.856392]"
6264,,KFPR,KAFURPUR,,,"[78.3593320288, 28.8654124385]"
6265,,AMRO,AMROHA,,,"[78.474329, 28.892688]"
6266,,KIV,KAIALSA,,,"[78.5605679086, 28.8802519228]"
6267,,CKLT,CHAK KALI LAIT,,,"[78.611771, 28.874271]"
6268,,HKP,HAKIMPUR,,,"[78.65886363950001, 28.8794821589]"
6269,,LDP,LODIPUR BISHANPUR,,,"[78.7090987616, 28.872301720499998]"
6270,,LPB,LODIPUR BISHANP,,,"[78.71802799999999, 28.869781]"
6271,,BZR,BISRA,,,"[84.998591, 22.248412000000002]"
6272,,BUL,BHALULATA,,,"[85.060382, 22.266491]"
6273,,JRA,JARAIKELA,,,"[85.113703, 22.309555999999997]"
6274,,MOU,MANOHARPUR,,,"[85.196894, 22.373359]"
6275,,PST,POSOTIA,,,"[85.254753, 22.447129]"
6276,,DRWN,DEROWAN P. HALT,,,"[85.29977799999999, 22.487947]"
6277,,MXW,MAHADEV SAL,,,"[85.328849, 22.510448]"
6278,,GOL,GOILKERA,,,"[85.37935200000001, 22.505290000000002]"
6279,,TUX,TUNIA,,,"[85.426059, 22.540308999999997]"
6280,,SWR,SONUA,,,"[85.464081, 22.576498]"
6281,,LPH,LOTAPAHAR,,,"[85.565671, 22.617663]"
6282,,CKP,CHAKRADHARPUR,,,"[85.62777100000001, 22.678978999999998]"
6283,,BRM,BARABAMBO,,,"[85.72902995999999, 22.70169729]"
